Threshold,TP,FP,FN,Recall,Precision
0.0,337,750,0,1.0,0.31002759889604414
0.05,337,750,0,1.0,0.31002759889604414
0.1,337,750,0,1.0,0.31002759889604414
0.15,337,750,0,1.0,0.31002759889604414
0.2,337,750,0,1.0,0.31002759889604414
0.25,337,750,0,1.0,0.31002759889604414
0.3,337,750,0,1.0,0.31002759889604414
0.35,337,750,0,1.0,0.31002759889604414
0.4,337,750,0,1.0,0.31002759889604414
0.45,337,750,0,1.0,0.31002759889604414
0.5,337,750,0,1.0,0.31002759889604414
0.55,337,750,0,1.0,0.31002759889604414
0.6,337,742,0,1.0,0.3123262279888786
0.65,337,602,0,1.0,0.3588924387646432
0.7,326,406,11,0.9673590504451038,0.4453551912568306
0.75,295,312,42,0.8753709198813057,0.48599670510708404
0.8,266,220,71,0.7893175074183977,0.5473251028806584
0.85,83,33,254,0.24629080118694363,0.7155172413793104
0.9,25,0,312,0.07418397626112759,1.0
0.95,6,0,331,0.017804154302670624,1.0
1.0,0,0,337,0.0,0
