Threshold,TP,FP,FN,Recall,Precision
0.0,382,705,0,1.0,0.3514259429622815
0.05,382,705,0,1.0,0.3514259429622815
0.1,382,705,0,1.0,0.3514259429622815
0.15,382,705,0,1.0,0.3514259429622815
0.2,382,705,0,1.0,0.3514259429622815
0.25,382,705,0,1.0,0.3514259429622815
0.3,382,705,0,1.0,0.3514259429622815
0.35,382,705,0,1.0,0.3514259429622815
0.4,382,705,0,1.0,0.3514259429622815
0.45,382,705,0,1.0,0.3514259429622815
0.5,382,705,0,1.0,0.3514259429622815
0.55,382,705,0,1.0,0.3514259429622815
0.6,382,698,0,1.0,0.3537037037037037
0.65,382,548,0,1.0,0.410752688172043
0.7,381,299,1,0.9973821989528796,0.5602941176470588
0.75,380,239,2,0.9947643979057592,0.6138933764135702
0.8,335,161,47,0.8769633507853403,0.6754032258064516
0.85,143,45,239,0.3743455497382199,0.7606382978723404
0.9,0,0,382,0.0,0
0.95,0,0,382,0.0,0
1.0,0,0,382,0.0,0
