Threshold,TP,FP,FN,Recall,Precision
0.0,584,503,0,1.0,0.5372585096596136
0.05,584,503,0,1.0,0.5372585096596136
0.1,584,503,0,1.0,0.5372585096596136
0.15,584,503,0,1.0,0.5372585096596136
0.2,584,503,0,1.0,0.5372585096596136
0.25,584,503,0,1.0,0.5372585096596136
0.3,584,503,0,1.0,0.5372585096596136
0.35,584,503,0,1.0,0.5372585096596136
0.4,584,503,0,1.0,0.5372585096596136
0.45,584,503,0,1.0,0.5372585096596136
0.5,584,503,0,1.0,0.5372585096596136
0.55,584,491,0,1.0,0.5432558139534883
0.6,584,467,0,1.0,0.5556612749762131
0.65,577,381,7,0.988013698630137,0.6022964509394572
0.7,562,223,22,0.9623287671232876,0.7159235668789808
0.75,546,146,38,0.934931506849315,0.7890173410404624
0.8,498,98,86,0.8527397260273972,0.8355704697986577
0.85,292,40,292,0.5,0.8795180722891566
0.9,29,4,555,0.04965753424657534,0.8787878787878788
0.95,0,0,584,0.0,0
1.0,0,0,584,0.0,0
