Threshold,TP,FP,FN,Recall,Precision
0.0,628,459,0,0.577736890524379,0.577736890524379
0.05,628,459,0,0.577736890524379,0.577736890524379
0.1,628,459,0,0.577736890524379,0.577736890524379
0.15,628,459,0,0.577736890524379,0.577736890524379
0.2,628,459,0,0.577736890524379,0.577736890524379
0.25,628,459,0,0.577736890524379,0.577736890524379
0.3,628,459,0,0.577736890524379,0.577736890524379
0.35,628,459,0,0.577736890524379,0.577736890524379
0.4,628,459,0,0.577736890524379,0.577736890524379
0.45,628,459,0,0.577736890524379,0.577736890524379
0.5,628,459,0,0.577736890524379,0.577736890524379
0.55,628,447,0,0.577736890524379,0.5841860465116279
0.6,628,423,0,0.577736890524379,0.5975261655566128
0.65,621,337,0,0.5712971481140754,0.6482254697286013
0.7,606,179,0,0.5574977000919963,0.7719745222929937
0.75,585,107,0,0.5381784728610856,0.8453757225433526
0.8,521,75,0,0.47930082796688134,0.8741610738255033
0.85,300,32,0,0.27598896044158233,0.9036144578313253
0.9,33,0,0,0.03035878564857406,1.0
0.95,0,0,0,0,0
1.0,0,0,0,0,0
