Threshold,TP,FP,FN,Recall,Precision
0.0,343,668,0,1.0,0.33926805143422356
0.05,343,668,0,1.0,0.33926805143422356
0.1,343,668,0,1.0,0.33926805143422356
0.15,343,668,0,1.0,0.33926805143422356
0.2,343,668,0,1.0,0.33926805143422356
0.25,343,668,0,1.0,0.33926805143422356
0.3,343,668,0,1.0,0.33926805143422356
0.35,343,668,0,1.0,0.33926805143422356
0.4,343,668,0,1.0,0.33926805143422356
0.45,343,668,0,1.0,0.33926805143422356
0.5,343,668,0,1.0,0.33926805143422356
0.55,343,651,0,1.0,0.34507042253521125
0.6,341,508,2,0.9941690962099126,0.4016489988221437
0.65,319,358,24,0.9300291545189504,0.4711964549483013
0.7,279,201,64,0.8134110787172012,0.58125
0.75,251,112,92,0.7317784256559767,0.6914600550964187
0.8,212,96,131,0.6180758017492711,0.6883116883116883
0.85,102,54,241,0.29737609329446063,0.6538461538461539
0.9,13,15,330,0.037900874635568516,0.4642857142857143
0.95,0,1,343,0.0,0.0
1.0,0,0,343,0.0,0
